"","loop","WT_1","WT_2","WT_3","TRT_1","TRT_2","TRT_3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"9592",9592,19,8,16,11,12,14,12.8569502668594,0.00102708641708165,0.0556855410312834,0.867141209645899,0.999999433852421
"9593",9593,86,79,91,70,91,92,84.4353288050926,-0.000158347670345726,0.0543958917497691,0.992352174381981,0.999999433852421
"9594",9594,28,20,41,12,32,32,25.6322025251645,-0.00056582703549417,0.0553954226748887,0.947334179485994,0.999999433852421
"9595",9595,86,61,101,67,77,65,74.9826604665535,-0.000290858650690367,0.0545284041963154,0.98012289813179,0.999999433852421
"9596",9596,78,70,90,68,67,61,71.764584415423,-0.000498044550378361,0.0545749389984215,0.966313538965799,0.999999433852421
"9597",9597,71,76,74,57,64,70,68.3534712669738,-0.000960435436728208,0.0546320973713028,0.935099403854526,0.999999433852421
"9600",9600,125,98,158,124,131,87,118.259919745693,-0.000233264702810798,0.0540036065859752,0.985745438842502,0.999999433852421
"9601",9601,97,96,81,84,62,77,81.9331292028083,9.79141845032554e-06,0.0544319550838789,0.999933644442765,0.999999433852421
"9602",9602,73,61,60,57,49,72,61.4316214727399,0.000157465040161693,0.0547278203485509,0.991222454498851,0.999999433852421
"9603",9603,37,30,63,49,62,63,48.7303337145627,0.00030596567730835,0.0549445637358006,0.978507191377245,0.999999433852421
"9605",9605,78,47,51,192,252,256,115.028417729733,-0.000212017202181965,0.0541749471020013,0.984639908598612,0.999999433852421
"9606",9606,41,47,31,43,62,47,44.2341609925202,-0.000979657623713519,0.0550317552745925,0.922347932899614,0.999999433852421
"9607",9607,149,119,201,137,169,161,153.897817013183,-0.00112413968846461,0.0536797324772292,0.940452323467279,0.999999433852421
"9608",9608,64,62,57,39,57,28,49.1462322909272,0.00142109299083385,0.0549664246540968,0.895220044635394,0.999999433852421
"9609",9609,51,57,26,55,54,49,47.1659910535744,0.00103844785847942,0.0549800280004812,0.923095707120646,0.999999433852421
"9610",9610,43,32,52,58,43,37,43.3180340307793,8.98416243412465e-06,0.0550325650873757,0.998014888652379,0.999999433852421
"9611",9611,86,69,78,92,74,72,78.1008374383305,0.00075703448867699,0.0544876719007723,0.950769113514449,0.999999433852421
"9612",9612,24,18,26,18,21,16,20.2020125369262,8.08667585748696e-05,0.0554999747956901,0.993376023832434,0.999999433852421
"9613",9613,38,40,65,44,41,48,45.2273754541152,0.000379829181864451,0.0550004559257242,0.972416577713402,0.999999433852421
"9614",9614,69,76,67,66,60,60,66.1142376526887,0.00133725824522453,0.0546761502449387,0.911845786439161,0.999999433852421
"9615",9615,50,79,54,60,52,41,54.8733596569864,0.00101507892649601,0.0548473548268845,0.928762668532936,0.999999433852421
"9616",9616,79,108,120,108,94,77,96.3599731206379,-0.00113124850794593,0.0542628576798822,0.929872503173316,0.999999433852421
"9617",9617,31,21,18,33,19,29,24.4508994612158,0.000247023230605764,0.055407822144803,0.977199430879678,0.999999433852421
"9618",9618,30,44,32,45,27,34,34.7025294808925,-0.000899187143927873,0.0552059277457819,0.916680498602208,0.999999433852421
"9619",9619,40,50,42,34,38,22,36.5652805537067,0.00080339566978708,0.0551734652021654,0.934073749747768,0.999999433852421
"9620",9620,101,116,83,75,88,60,85.2989066977157,-0.000362966252974618,0.0543938554263881,0.976392327109259,0.999999433852421
"9621",9621,21,19,16,11,19,19,17.1414635790461,0.000480668499230058,0.05557283867486,0.946159596908479,0.999999433852421
"9622",9622,28,26,38,120,148,140,64.0253403856551,-2.36248302406575e-05,0.0548078809418913,0.996611092185936,0.999999433852421
"9623",9623,52,55,33,57,47,34,45.2685658643708,-0.000794897034929693,0.0550064994742723,0.936098486755252,0.999999433852421
"9624",9624,40,44,38,37,11,43,32.4669427600688,-0.000379808560503754,0.0552527160028885,0.965400941972975,0.999999433852421
"9625",9625,34,34,47,44,43,44,40.6776989832834,0.00107846063596135,0.055095733239471,0.915246982526211,0.999999433852421
"9626",9626,16,23,17,18,19,15,17.8424353392057,-0.000698030075733179,0.0555604021789089,0.919451492359986,0.999999433852421
"9627",9627,64,130,79,96,120,75,91.0046667825766,-0.000271467314705715,0.054319347532782,0.982760591501874,0.999999433852421
"9628",9628,42,48,43,44,63,54,48.4817265903632,0.00143782919604038,0.0549670301227881,0.89544595412627,0.999999433852421
"9629",9629,46,37,52,58,45,33,44.3696813227895,0.000451869510122081,0.0550167411777586,0.967628270347624,0.999999433852421
"9630",9630,21,27,34,26,30,38,28.8118186097814,0.000495325858759695,0.0553174744938898,0.955888033588478,0.999999433852421
"9631",9631,121,100,158,77,148,91,112.086423557506,-0.00107283583605597,0.0540877710986053,0.937467320425574,0.999999433852421
"9632",9632,99,85,72,348,296,276,160.710839333843,0.000128843880960063,0.0537348563671586,0.992654873719945,0.999999433852421
"9633",9633,112,88,71,67,78,98,84.2840768353696,-0.000313805878208159,0.0544020816674425,0.978624553292774,0.999999433852421
"9634",9634,157,143,134,143,147,78,130.472793441496,0.000376782705353599,0.0538850970837448,0.980507432250592,0.999999433852421
"9635",9635,5,7,7,16,28,24,13.9419410389957,1.17036832062708,0.70087012812628,0.00224953538655906,0.123184557767974
"9636",9636,16,22,27,30,23,19,22.3550309840245,-0.000422540111695426,0.0554545349597671,0.955276097117256,0.999999433852421
"9637",9637,47,38,40,38,53,38,41.9764025724466,-0.000423709624548098,0.0550589518623446,0.96465312695628,0.999999433852421
"9638",9638,37,38,47,44,38,44,41.1633028635361,0.000481757634544689,0.0550734301516687,0.958372584940367,0.999999433852421
"9639",9639,30,27,37,55,37,40,36.6945974356067,9.72174155079797e-06,0.0551606840730309,0.999337760454148,0.999999433852421
"9640",9640,26,25,26,23,20,26,24.2460310224346,0.000151922066064339,0.0554129894002106,0.99343530059863,0.999999433852421
"9641",9641,74,101,51,48,90,68,69.4289182876714,-0.0003392421221719,0.0546115027976226,0.977363663455858,0.999999433852421
"9642",9642,54,76,46,66,53,80,61.2600371248398,-0.00037116854600676,0.0547338569974566,0.970485516366973,0.999999433852421
"9643",9643,74,126,120,131,95,94,104.592183663398,-0.000129859565514658,0.0541537758904955,0.99093916108573,0.999999433852421
"9644",9644,33,47,33,38,42,43,38.9947524294845,-0.00132899641230385,0.0551347209115095,0.89037867021566,0.999999433852421
"9645",9645,50,30,51,42,42,43,42.395273628688,-0.000564749495224343,0.0550540459875084,0.953731842740035,0.999999433852421
"9646",9646,10,10,14,28,48,48,21.204492907956,0.000943643120252923,0.055528653631735,0.899623765687199,0.999999433852421
